ID,Name,Sublabel,Pathogen_type,R0,CFR_adult,Biosafety,Survive_surfaces,Survive_ideal,CFR_adult_grp,CFR_child,Hits,Hits_news,I_news,I_yucky,I_fear,I_ignored,I_attention,I_notoriety,Mode,Dose,Dose_grp,Dose_type,Incubation,Incubation_range,Incidence,Incidence_raw,Incidence_US,Incidence_Eur,Incidence_Af,Prevalence,Prevalence_raw,DALYs,DALYs_raw,DALYs_US,DALYs_Eur,DALYs_Af,Fatal,Fatal_raw,Fatal_US,Fatal_Eur,Fatal_Af,Peak,Peak_year,Vulnerable,Hotspots,Treatment,Effectiveness,Resistance
9,Common cold,,virus,2,0.00%,2,0.1,1,Virtually zero,0.00%,"68,20,000","10,100",0.15,-,-,0.198,-,-,air droplets,1,1,human,2,01-Mar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,Dengue fever,,virus,11,0.04%,2,-,63,Virtually zero,0.04%,"47,30,000","7,000",0.15,0.2,125,1.5714,69,"12,68,09,65,147",bites,10,10,human,6,Mar-15,101,"10,10,64,193","23,448",0,"81,09,719",6,"60,45,964",3,"29,56,863",286,8,"99,917","37,800","37,780",1,0,287,-,-,-,-,-,-,-
11,Dengue fever,"(severe, untreated)",virus,11,20.00%,2,-,63,Moderate,-,"47,30,000","7,000",0.15,0.2,125,1.5714,69,"2,36,50,000",bites,10,10,human,6,Mar-15,101,"10,10,64,193","23,448",0,"81,09,719",6,"60,45,964",3,"29,56,863",286,8,"99,917","37,800","37,780",1,0,287,-,-,-,-,-,-,-
12,Diphtheria,,bacterium,2.5,11.30%,2,180,-,Moderate,35%,"5,54,000",582,0.11,0.5,498,4.2955,"82,006","48,83,510",body fluids,-,-,-,3,02-Apr,0.007,"7,097",-,-,-,0.0003,321,0.09,"86,928",158,638,"70,924","1,100","1,112",3,13,875,"15,520","US only, 1921",Children,-,-,-,-
13,E. coli,,bacterium,-,0.50%,2,490,-,Very low,-,"2,05,00,000","32,400",0.16,-,104,-,100,"4,10,00,00,000",fecal-oral,10,10,human,2,01-Mar,324,"32,44,50,597",-,-,-,-,-,16,"1,56,31,758",-,-,-,"1,97,000","1,96,886",100,-,"1,03,000",-,-,-,-,-,-,-
14,Ebola,,virus,1.9,50.00%,4,0.5,14,High,-,"1,03,00,000","45,400",0.44,"11,350","25,75,000",0.0407,"1,13,50,00,000","2,06,00,000",body fluids,5,10,human,9,05-Dec,0.00004,41,0,0,41,0.0006,626,0.0003,331,0,0,330,4,4,0,0,4,"37,700",2015,-,-,-,-,-
15,Echinococcosis,(cystic),parasite,0.8,0.50%,2,-,-,Very low,0.60%,"4,44,000",39,0.009,0,439,21.4103,195,"9,41,07,673",fecal-oral,-,-,-,3833,365-7300,0.2,"2,04,202",281,"8,655","1,16,337",1,"9,73,662",0.1,"1,36,528",227,"6,348","83,496","1,000","1,012",3,95,604,-,-,-,-,Drugs: benzimidazole compounds such as albendazole,"In most patients, cysts can be completely eliminated using these drugs",-
16,Echinococcosis,(alveolar),parasite,0.8,62.50%,2,-,-,High,-,"4,44,000",39,0.009,-,39,21.4103,"2,139","7,10,400",fecal-oral,-,-,-,3833,365-7300,0.02,"18,235",-,-,-,1,"10,00,000",0.7,"6,66,434",-,-,-,"11,450","11,488",-,-,-,-,-,-,China (>90% of cases),"Drugs: mebendazole, albendazole, praziquantel",-,-
17,Guinea worm disease,,parasite,10.2,0.05%,-,-,-,Virtually zero,-,"7,77,000","4,090",0.53,-,222,2.4817,"15,14,81,481","1,55,40,00,000",food and water,1,1,human,450,360-540,0.000027,27,0,0,27,0.00001,15,0.000001,1,0,0,1,-,-,-,-,-,"3,500",1986,Those who use open stagnant water sources such as ponds,Africa,None - prevention only,Easy to prevent by filtering or treating drinking water to remove fleas,-
18,"Hand, foot & mouth ",,virus,4,0.06%,2,14,150,Virtually zero,0.01%,"11,20,000","2,790",0.25,-,-,1.4301,-,"1,86,66,66,667",body fluids,18,10,human,4.5,03-Jun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,540,"China, 2008-13 outbreak, average per year",Children,-,Vaccines against HFMD caused by EV71 approved 2015 and 2016,-,-
19,Hantavirus,,virus,2.1,36.00%,3,8,14,Moderate,-,"8,72,000","4,210",0.48,-,-,0.4988,"21,050","24,22,222",air droplets,-,-,-,18,"9-33 for pulmonary syndrome, 12-21 for haemorrhagic fever",0.2,"1,75,000",29,"3,667",-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,North and South America,-,-,-
20,Helminthiasis (soil-transmitted helminths),,parasite,1.9,-,-,-,-,-,-,"1,21,000",26,0.02,0,43,73.0769,-,-,fecal-oral,1,1,human,368.5,7-730,-,-,-,-,-,"1,500","1,50,00,00,000",5.2,"51,80,000",-,-,-,"2,800","2,824",-,-,-,-,-,-,-,-,-,-
21,Hepatitis A,(acute),virus,2,0.01%,2,60,365,Virtually zero,0.00%,"48,20,000","19,400",0.4,3.7,918,0.1031,121,"58,78,04,87,805",fecal-oral,10,10,human,30,15-50,160,"15,95,15,772","6,29,672","16,94,948","2,09,17,489",12,"1,22,70,444",0.5,"4,50,659","3,818","6,411","57,958","5,200","5,249",70,105,629,-,-,"Drug users, travellers, gay men","Developing countries: Central and South America, Africa, India, Middle East and Asia",None - prevention only,-,-
22,Hepatitis B,,virus,5,0.10%,2,170,-,Very low,0.01%,"1,33,00,000","14,000",0.11,0.1,133,0.3571,118,"12,03,61,99,095",body fluids,10,10,animal,75,60-90,119,"11,89,76,405","4,92,758","14,15,301","3,24,99,525",468,"46,84,34,723",3.8,"38,23,834","25,080","42,894","8,26,573","1,00,000","1,00,278",830,"1,530","18,471",-,-,-,-,-,-,-
23,HIV,(treated),virus,6,2.10%,3,170,-,Low,-,"5,84,00,000","73,00,000",12.5,7.1,56,0.0008,"38,42,105","2,78,09,52,381",body fluids,1,1,human,26,Jul-42,1.9,"18,65,245","45,611","95,442","13,26,557",36,"3,62,13,030",58,"5,75,75,392","4,18,836","15,92,008","4,45,64,391","10,30,000","10,33,751","7,116","28,716","7,86,096","19,00,000",2005,-,-,-,-,-
24,HIV ,(untreated),virus,6,80.00%,3,170,-,Very high,-,"5,84,00,000","73,00,000",12.5,7.1,56,0.0008,"38,42,105","7,30,00,000",body fluids,1,1,human,26,Jul-42,1.9,"18,65,245","45,611","95,442","13,26,557",36,"3,62,13,030",58,"5,75,75,392","4,18,836","15,92,008","4,45,64,391","10,30,000","10,33,751","7,116","28,716","7,86,096","19,00,000",2005,-,-,-,-,-
25,Bird flu,,virus,1.2,60.00%,02-Mar,2,35,High,49%,"5,37,000","1,89,000",35.2,"10,500","29,833",0.0063,"9,45,00,000","8,95,000",air droplets,-,-,-,2.5,02-Mar,0.002,"2,000",13,-,-,-,-,-,-,-,-,-,18,18,0,-,3,79,2006,Those in areas with infected wild rodents or domestic animals,-,"Antibiotics: streptomycin, gentamycin, chloramphenicol",Effective if treatment begins within 24-36 hours of onset,-
26,Seasonal flu,,virus,1,0.10%,2,1,2,Very low,0.01%,"8,10,000","9,300",1.1,0,2,0.1075,"2,325","81,00,00,000",air droplets,790,"1,000",human,2,01-Mar,4,"40,00,000",-,-,-,-,-,-,-,-,-,-,"4,70,000","4,70,000","26,000",-,-,-,-,"Pregnant women, children under 59 months, the elderly, individuals with chronic medical conditions",-,-,-,-
27,Spanish flu,,virus,2.2,2.50%,3,-,-,Low,-,"5,97,000","12,900",2.16,-,0.01,0.1667,-,"2,38,80,000",air droplets,-,-,-,2,01-Mar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,50,00,000",1918-19,-,-,-,-,-
28,Swine flu,,virus,1.5,0.20%,2,0.4,2,Very low,-,"60,30,000","1,39,000",2.3,-,17,0.0108,-,"3,01,50,00,000",air droplets,500,"1,000",human,5,04-Jun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,60,000",2009,-,-,-,-,-
29,Leishmaniasis ,(all),parasite,0.7,1.90%,2,0,35,Low,1.40%,"26,20,000","2,840",0.11,0.2,192,0.2465,"3,550","13,71,00,994",bites,-,-,-,35,14-56,0.8,"7,98,806",5,821,"1,28,404",4.8,"48,36,551",1,"9,81,055",0,"1,107","2,88,588","13,700","13,669",0,43,"6,275",-,-,"Malnourished people, migrants or those living near them, those affected by climate change, children under 15","Recent epidemics of cutaneous leishmaniasis in Pakistan (since 2004), Iran (2003), Chad (2007) and Syria.",-,-,Resistance against sodium antimony gluconate has been documented for all species
30,Leishmaniasis,"(visceral, untreated)",parasite,0.5,95.00%,2,0,35,Very high,-,"26,20,000","2,840",0.11,0.2,192,0.1761,"3,550","27,57,895",bites,-,-,-,120,60-180,0.8,"7,98,806",5,821,"1,28,404",0.03,"30,067",1,"9,81,055",0,"1,107","2,88,588","13,700","13,669",0,43,"6,275",-,-,"Malnourished people, migrants or those living near them, those affected by climate change, children under 15","Recent epidemics of visceral leishmaniasis in Ethiopia (2005-06), Kenya (2008) and Southern Sudan (2009-2012).",-,-,Resistance against sodium antimony gluconate has been documented for all species
31,Leprosy,,bacterium,2.8,-,2,-,-,-,-,"25,60,000","7,630",0.3,-,-,0.3604,"1,27,167",-,body fluids,-,-,-,1460,1095-1825,0.06,"55,317",35,10,"8,814",0.5,"5,23,245",0.03,"31,654",3,2,"7,391",-,-,-,-,-,-,-,-,-,"Multidrug therapy: dapsone, rifampicin, Clofazimine",-,Some resistance to dapsone
32,Lyme disease,,bacterium,0.5,0.20%,2,-,48,Very low,-,"90,50,000","6,700",0.07,-,-,0.0746,-,"4,52,50,00,000",bites,"50,000","1,00,000",animal,18,3-32 after tick bite,0.53,"5,32,125","3,00,000","18,000",-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,Hikers. ,"B. burgdorferi endemic in USA, one area of Canada; Europe, Soviet Union and independant states, Australia, China and Japan",Antibiotics. Doxycycline (adults) and amoxicillin (adults and children < 9 years); erythromycin for those allergic to penicillins or tetracyclines,-,-
33,Lymphatic filariasis,,parasite,16.4,-,2,-,-,-,-,"3,84,000","1,800",0.47,-,-,9.0833,237,-,bites,-,-,-,345,150-540,7.6,"76,04,356",0,0,"43,41,126",29,"2,93,82,260",1.2,"11,88,968",0,0,"6,70,831",-,-,-,-,-,-,-,-,-,"Drug: Diethylcarbamazine is drug of choice. Also ivermectin, albendazole, and doxycycline. Preventive chemotherapy",Limited. Diethylcarbamazine has a limited action against adult worms. ,None reported
34,Malaria,(P. falciparum),parasite,17,0.20%,3,0,-,Very low,0.40%,"1,36,00,000","85,900",0.63,0.1,19,0.1979,403,"6,82,73,09,237",bites,1,1,human,12,Sep-14,213,"21,30,98,073",0,0,"19,23,57,286",129,"12,89,47,473",56,"5,62,01,233",0,0,"5,13,94,662","7,20,000","7,19,551",0,0,"6,43,642","18,17,000",2004,-,-,-,-,-
35,Malaria,(P. falciparum),parasite,115,0.20%,3,0,-,Very low,0.40%,"1,36,00,000","85,900",0.63,0.1,19,1.3388,403,"6,82,73,09,237",bites,1,1,human,12,Sep-14,213,"21,30,98,073",0,0,"19,23,57,286",129,"12,89,47,473",56,"5,62,01,233",0,0,"5,13,94,662","7,20,000","7,19,551",0,0,"6,43,642","18,17,000",2004,-,-,-,-,-
36,Marburg virus disease,,virus,1.3,50.00%,4,4,-,High,-,"71,50,000","50,700",0.71,"2,535","3,81,899",0.0256,"2,305","1,43,00,000",body fluids,1,1,human,7,03-Oct,0.00002,22,0,0,22,-,-,-,-,-,-,-,20,19,0,0,19,329,2005,Healthcare workers,"Uganda, Angola, DRC",None yet proven,-,-
37,Measles,,virus,9,0.70%,2,0.1,-,Very low,0.80%,"1,28,00,000","26,300",0.21,0.4,188,0.3422,"2,922","1,77,33,44,417",air droplets,"10,000","10,000",human,11,Aug-14,9,"89,55,238",668,"9,404","30,64,120",0.25,"2,45,349",5.7,"57,24,752",146,761,"34,97,927","68,100","68,119",2,10,"41,610","26,00,000",before 1963,-,-,-,-,-
38,Meningitis,"(meningococcal, treated)",bacterium,1.3,11.50%,2,-,-,Moderate,-,"10,60,000","14,000",1.3,0,8,0.0929,"23,333","92,17,391",air droplets,-,-,-,4,02-Oct,0.6,"5,61,372","3,239","14,528","3,86,716",1.7,"16,60,559",8.3,"83,27,140","17,379","84,781","46,52,170","1,27,000","1,27,424",370,"1,618","66,043",-,-,"Babies, preschool children, young people",The 'meningitis belt' â€“ an area of sub-Saharan Africa stretching from Senegal to Ethiopia,"Antibiotics including penicillin, ampicillin and ceftriaxone",Limited.,-
39,Meningitis ,"(meningococcal, untreated)",bacterium,1.3,50.00%,2,-,-,High,-,"10,60,000","14,000",1.3,0,8,0.0929,"23,333","21,20,000",air droplets,-,-,-,4,02-Oct,0.6,"5,61,372","3,239","14,528","3,86,716",1.7,"16,60,559",8.3,"83,27,140","17,379","84,781","46,52,170","1,27,000","1,27,424",370,"1,618","66,043",-,-,"Babies, preschool children, young people",The 'meningitis belt' â€“ an area of sub-Saharan Africa stretching from Senegal to Ethiopia,"Antibiotics including penicillin, ampicillin and ceftriaxone",Limited. ,-
40,MERS,,virus,0.5,35.60%,3,2,5,Moderate,18%,"1,45,00,000","2,87,000",2,"2,126","1,07,770",0.0017,"74,35,23,316","4,07,41,744",air droplets,"1,000","1,000",animal,5,"2-14, median 5",0.0004,386,-,-,-,-,-,-,-,-,-,-,135,135,-,-,2,170,2013-14,"Males above the age of 60 with underlying conditions, such as diabetes, high blood pressure and kidney failure, are at a higher risk of severe disease, including death.","Saudi Arabia: Between 2012 and 21 July 2017, 2040 laboratory-confirmed cases of Middle East respiratory syndrome infection were reported to WHO, 82% of whom were reported by the Kingdom of Saudi Arabia .",-,-,-
41,MRSA,,bacterium,0.4,20.00%,2,213,365,Moderate,1.20%,"92,70,000","14,500",0.16,-,13,0.0241,-,"4,63,50,000",other,"1,00,000","1,00,000",human,1,01-Oct,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"11,000",-,-,"7,00,000",2014,-,-,-,-,-
42,Mumps,,virus,7,0.01%,2,6,-,Virtually zero,-,"58,30,000","8,860",0.15,-,-,0.7901,-,"58,30,00,00,000",air droplets,-,-,-,17,Dec-25,-,-,"5,629",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
43,Norovirus,,virus,7.8,0.08%,2,12,28,Virtually zero,0.00%,"30,10,000","27,400",0.91,-,14,0.2854,40,"3,76,25,00,000",fecal-oral,10,10,human,1,0.5-2,685,"68,48,50,131",-,-,-,-,-,15,"1,51,05,714",-,-,-,"2,12,000","2,12,489",690,-,"60,000",-,-,-,-,-,-,-
44,Plague,"(bubonic, treated)",bacterium,3.5,15.00%,3,3,100,Moderate,-,"20,50,000",895,0.04,8,"17,551",3.9106,"14,91,667","1,36,66,667",bites,10,10,human,4,01-Jul,0.0006,650,4,-,-,-,-,-,-,-,-,-,117,117,0,-,-,"60,00,000","Europe, 1347-1353",-,-,-,-,-
45,Plague ,"(bubonic, untreated)",bacterium,3.5,60.00%,3,3,100,High,-,"20,50,000",895,0.04,8,"17,551",3.9106,"14,91,667","34,16,667",bites,10,10,human,4,01-Jul,0.0006,650,4,-,-,-,-,-,-,-,-,-,117,117,0,-,-,"60,00,000","Europe, 1347-1353",-,-,"Antibiotics: streptomycin, gentamycin, chloramphenicol",Effective if treatment begins within 24-36 hours of onset,-
46,Plague ,"(pneumonic, untreated)",bacterium,3.5,100.00%,3,3,100,Virtually certain,-,"3,12,000",410,0.13,4,"2,671",8.5366,"6,83,333","3,12,000",bites,"10,00,00,00,000","10,00,00,00,000",human,3,01-Apr,0.0006,650,4,-,-,-,-,-,-,-,-,-,117,117,0,-,-,"60,00,000","Europe, 1347-1353",-,-,-,-,-
47,Pneumonia ,(pneumococcal),bacterium,1.1,5.00%,2,20,-,Low,5.00%,"3,54,00,000","5,98,000",1.7,-,22,0.0018,-,"70,80,00,000",body fluids,"1,000","1,000",human,2,01-Mar,-,-,-,-,-,-,-,-,-,-,-,-,"16,00,000","16,00,000",-,-,-,-,-,Children,-,-,-,-
48,Polio ,(paralytic),virus,3.5,22.50%,2,60,-,Moderate,3.50%,"2,03,00,000","50,000",0.25,-,773,0.07,"2,38,09,52,381","9,02,22,222",fecal-oral,3,10,human,14,"3-6 days for nonparalytic, 7-21 for paralytic; second source says 7-14, doesn't specify type",0.00002,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"26,250",1988,Children,"As of 2017 the virus remains in circulation in only three countries in the world â€“ Afghanistan, Pakistan and Nigeria",-,-,-
49,Rabies ,(treated),virus,1,1.00%,3,0,-,Low,-,"1,36,00,000","34,200",0.25,3,"1,023",0.0292,"34,20,000","1,36,00,00,000",bites,-,-,-,60,30-90,0.01,"13,340",5,5,"5,718",0.0005,513,0.7,"7,44,246",228,200,"3,77,224","13,300","13,289",5,5,"5,677",-,-,-,"Asia and Africa. India has the highest rate of human rabies in the world, primarily because of stray dogs,[83] whose number has greatly increased since a 2001 law forbade the killing of dogs.[84] Effective control and treatment of rabies in India is also hindered by a form of mass hysteria known as puppy pregnancy syndrome (PPS). Dog bite victims with PPS (both male and female) become convinced that puppies are growing inside them, and often seek help from faith healers rather than from conventional medical services.[85] An estimated 20,000 people die every year from rabies in India â€” more than a third of the global toll.[84]","Vaccine, washing the wound",Vaccine given before onset of symptoms is 100% effective,-
50,Rabies,(untreated),virus,10,100.00%,3,0,-,Virtually certain,100.00%,"1,36,00,000","34,200",0.25,3,"1,023",0.0292,"34,20,000","1,36,00,000",bites,-,-,-,60,30-90,0.01,"13,340",5,5,"5,718",0.0005,513,0.7,"7,44,246",228,200,"3,77,224","13,300","13,289",5,5,"5,677",-,-,-,"Asia and Africa. India has the highest rate of human rabies in the world, primarily because of stray dogs,[83] whose number has greatly increased since a 2001 law forbade the killing of dogs.[84] Effective control and treatment of rabies in India is also hindered by a form of mass hysteria known as puppy pregnancy syndrome (PPS). Dog bite victims with PPS (both male and female) become convinced that puppies are growing inside them, and often seek help from faith healers rather than from conventional medical services.[85] An estimated 20,000 people die every year from rabies in India â€” more than a third of the global toll.[84]","Vaccine, washing the wound",Vaccine given before onset of symptoms is 100% effective,-
51,Rotavirus,,virus,0.9,0.70%,2,60,-,Very low,0.03%,"35,00,000","7,330",0.21,"34,093",16,0.1255,-,-,fecal-oral,10,10,human,2,0.5-3,-,-,-,-,-,-,-,-,-,-,-,-,0.2,"2,15,000",-,-,-,"5,28,000","2000 (not peak fatality year, but a baseline for comparison)",Children,"Four countries (India, Nigeria, Pakistan, and Democratic Republic of Congo) accounted for approximately half (49%) of all estimated rotavirus deaths in 2013",-,-,-
52,Salmonella,,bacterium,-,0.60%,2,1,90,Very low,-,"1,74,00,000","25,100",0.14,0,145,-,163,"2,90,00,00,000",food and water,10,10,human,1,0.5-1.5,154,"15,36,94,815",-,-,-,-,-,8.3,"82,73,477",-,-,-,"1,20,000","1,20,281",28,-,"4,100",-,-,-,-,-,-,-
53,SARS,,virus,2.8,9.60%,3,1,7,Low,1.00%,"56,70,000","34,300",0.6,-,"7,326",0.0816,-,"5,90,62,500",air droplets,20,10,human,5,"2-7 days, sometimes as long as 10; second source says 3-5",0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,774,2003,-,-,-,-,-
54,Scarlet fever ,(severe / untreated),bacterium,4,20.00%,2,200,200,Moderate,-,"22,90,000","5,210",0.23,-,-,0.7678,"10,420","1,14,50,000",body fluids,100,100,human,2,01-Mar,0.5,"5,00,000",-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,Antibiotics,-,"Certain strains of the bacterium have been found to resistant to macrolides, lincomycin, chloramphenicol, tetracyclines and cotrimoxazole"
55,Schistosomiasis,,parasite,3.1,0.02%,2,-,2,Virtually zero,0.00%,"16,40,000","1,370",0.08,0.14,162,2.2409,19,"8,63,15,78,947",food and water,1,1,human,50,14-84,71,"7,13,85,410",0,0,"6,47,13,882",190,"18,97,73,559",1.9,"18,63,610",0,0,"16,56,672","10,100","10,095",0,0,"8,709","2,00,000",2000,-,"Tropical and subtropical areas of Africa, Asia, South America. 92% of those requiring treatment live in Africa.",-,-,-
56,Shigellosis,,bacterium,1.5,1.00%,02-Mar,150,-,Low,-,"6,53,000","4,510",0.69,0,10,0.3326,24,"6,53,00,000",fecal-oral,100,100,human,2,"1-7 days, usually 1-3 days, second source says 2-3 days",191,"19,08,49,501",-,-,-,-,-,5.4,"54,07,736",-,-,-,"65,800","65,796",-,-,-,"12,00,000",1967-1997,-,-,-,-,-
57,Sleeping sickness ,"(Rhodesian, treated)",parasite,1.3,6.00%,3,-,-,Low,-,"36,00,000","41,500",1.2,18,"1,575",0.0313,"83,00,000","6,00,00,000",bites,400,"1,000",human,12,Mar-21,0.005,"4,966",0,0,"4,966",0.007,"7,066",0.1,"1,28,442",0,0,"1,28,442","2,300","2,286",0,0,"2,286",-,-,People in rural areas,Sub-Saharan Africa; 70% of reported cases in last 10 years in Democratic Republic of Congo,-,-,-
